file	coding
021A-C0897X0024XX-ABZZP0_002417_KBK_117__BUT-YOU__973-5625	0
021A-C0897X0026XX-AAZZP0_002607_KBK_138__GET-YOU__1198-6125	0
021A-C0897X0026XX-ABZZP0_002615_KBK_145__THAT-YOU__310-9725	0
021A-C0897X0026XX-ABZZP0_002622_KBK_152__IT-YOU__2622-4025	0
021A-C0897X0026XX-ABZZP0_002622_KBK_152__THAT-YOU__2625-9125	0
021A-C0897X0026XX-ABZZP0_002622_KBK_152__WHAT-YOU__2127-8225	0
021A-C0897X0026XX-ABZZP0_002622_KBK_152__WHAT-YOU__2600-0725	0
021A-C0897X0027XX-ABZZP0_002711_KBK_163__THAT-YOU__220-8125	0
021A-C0897X0028XX-AAZZP0_002808_KBK_185__THAT-YOU__1156-3625	0
021A-C0897X0028XX-AAZZP0_002808_KBK_185__WHAT-YOU__1125-8025	0
021A-C0897X0028XX-ABZZP0_002814_KBK_191__THOUGHT-YOU__2294-465	0
021A-C0897X0028XX-ABZZP0_002814_KBK_191__WHAT-YOU__2293-705	0
021A-C0897X0029XX-AAZZP0_002902_KBK_194__THAT-YOU__454-6725	0
021A-C0897X0029XX-AAZZP0_002909_KBK_201__THAT-YOU__1490-4425	0
021A-C0897X0029XX-ABZZP0_002917_KBK_209__WHAT-YOU__605-1125	0
021A-C0897X0031XX-AAZZP0_003102_KCV_2__THOUGHT-YOU__312-6925	0
021A-C0897X0031XX-AAZZP0_003103_KCV_3__NOT-YOU__813-5325	0
021A-C0897X0031XX-AAZZP0_003104_KCV_4__FACT-YOU__886-1525	0
021A-C0897X0033XX-ABZZP0_003308_KCV_18__THAT-YOU__2497-1525	0
021A-C0897X0034XX-ABZZP0_003403_KCV_20__THAT-YOU__119-8825	0
021A-C0897X0034XX-ABZZP0_003404_KCV_21__WANT-YOU__2323-03715636	0
021A-C0897X0036XX-ABZZP0_003608_KCV_37__RIGHT-YOU__752-4625	0
021A-C0897X0037XX-AAZZP0_003701_KCV_43__THAT-YOU__997-872391101	0
021A-C0897X0037XX-ABZZP0_003705_KCV_47__BUT-YOU__1116-42180099	0
021A-C0897X0039XX-AAZZP0_003902_KBH_2__WHAT-YOU__571-2325	0
021A-C0897X0039XX-AAZZP0_003904_KBH_4__THAT-YOU__1656-7025	0
021A-C0897X0039XX-AAZZP0_003904_KBH_4__THAT-YOU__2020-4025	0
021A-C0897X0039XX-AAZZP0_003905_KBH_5__BUT-YOU__2835-4725	0
021A-C0897X0039XX-AAZZP0_003905_KBH_5__THAT-YOU__2632-0425	0
021A-C0897X0039XX-AAZZP0_003905_KBH_5__THOUGHT-YOU__2585-1225	0
021A-C0897X0039XX-AAZZP0_003905_KBH_5__WHAT-YOU__2837-2725	0
021A-C0897X0039XX-ABZZP0_003907_KBH_7__BUT-YOU__1448-59285227	0
021A-C0897X0039XX-ABZZP0_003907_KBH_7__PUT-YOU__2177-80285227	0
021A-C0897X0039XX-ABZZP0_003907_KBH_7__THAT-YOU__1683-45285227	0
021A-C0897X0039XX-ABZZP0_003907_KBH_7__WHAT-YOU__1646-20285227	0
021A-C0897X0039XX-ABZZP0_003907_KBH_7__WHAT-YOU__1923-40285227	0
021A-C0897X0040XX-AAZZP0_004002_KBH_10__ALRIGHT-YOU__582-5725	0
021A-C0897X0040XX-AAZZP0_004002_KBH_10__RIGHT-YOU__591-1025	0
021A-C0897X0040XX-AAZZP0-2nd-ABZZP0_004008_KBH_16__ALRIGHT-YOU__2371-6825	0
021A-C0897X0040XX-AAZZP0-2nd-ABZZP0_004008_KBH_16__BUT-YOU__2908-8525	0
021A-C0897X0040XX-AAZZP0-2nd-ABZZP0_004008_KBH_16__BUT-YOU__2911-2925	0
021A-C0897X0040XX-AAZZP0-2nd-ABZZP0_004008_KBH_16__BUT-YOU__3285-1525	0
021A-C0897X0040XX-AAZZP0-2nd-ABZZP0_004008_KBH_16__WHAT-YOU__3275-3525	0
021A-C0897X0040XX-ABZZP0_004009_KBH_17__GOT-YOU__2709-3125	0
021A-C0897X0040XX-ABZZP0_004009_KBH_17__RIGHT-YOU__2273-0025	0
021A-C0897X0040XX-ABZZP0_004009_KBH_17__THAT-YOU__1884-7125	0
021A-C0897X0042XX-AAZZP0_004201_KBH_28__WHAT-YOU__155-3725	0
021A-C0897X0042XX-AAZZP0_004202_KBH_29__WHAT-YOU__385-7525	0
021A-C0897X0043XX-AAZZP0_004303_KBH_47__EXPECT-YOU__1013-5725	0
021A-C0897X0043XX-AAZZP0_004306_KBH_50__WHAT-YOU__1716-1725	0
021A-C0897X0043XX-ABZZP0_004311_KBH_55__BUT-YOU__1314-1525	0
021A-C0897X0043XX-ABZZP0_004311_KBH_55__WHAT-YOU__1545-4225	0
021A-C0897X0043XX-ABZZP0_004311_KBH_55__WHAT-YOU__2086-8425	0
021A-C0897X0045XX-AAZZP0_004503_KBH_60__THAT-YOU__661-3725	0
021A-C0897X0045XX-AAZZP0_004507_KBH_62__BUT-YOU__2809-8758993	0
021A-C0897X0045XX-AAZZP0_004507_KBH_62__IT-YOU__2597-805	0
021A-C0897X0045XX-ABZZP0_004508_KBH_63__IT-YOU__462-9225	0
021A-C0897X0045XX-ABZZP0_004508_KBH_63__OUT-YOU__493-0125	0
021A-C0897X0045XX-ABZZP0_004508_KBH_63__PUT-YOU__633-9225	0
021A-C0897X0045XX-ABZZP0_004508_KBH_63__THAT-YOU__300-6225	0
021A-C0897X0047XX-AAZZP0_004703_KCD_3__GET-YOU__1998-7625	0
021A-C0897X0047XX-AAZZP0_004704_KCD_4__THOUGHT-YOU__2511-5225	0
021A-C0897X0047XX-ABZZP0_004707_KCD_7__THOUGHT-YOU__720-3125	0
021A-C0897X0047XX-ABZZP0_004709_KCD_9__GET-YOU__1473-2425	0
021A-C0897X0047XX-ABZZP0_004711_KCD_11__BUT-YOU__2255-8925	0
021A-C0897X0047XX-ABZZP0_004711_KCD_11__WHAT-YOU__2272-0825	0
021A-C0897X0047XX-ABZZP0_004711_KCD_11__WHAT-YOU__2277-0825	0
021A-C0897X0048XX-AAZZP0_004802_KCD_15__WHAT-YOU__1035-1425	0
021A-C0897X0048XX-AAZZP0_004802_KCD_15__WHAT-YOU__934-4225	0
021A-C0897X0048XX-AAZZP0_004802_KCD_15__WHAT-YOU__942-9925	0
021A-C0897X0048XX-AAZZP0_004803_KCD_16__WHAT-YOU__1269-2525	0
021A-C0897X0048XX-AAZZP0_004803_KCD_16__WHAT-YOU__1285-1125	0
021A-C0897X0048XX-AAZZP0_004804_KCD_17__THOUGHT-YOU__1435-9825	0
021A-C0897X0048XX-ABZZP0_004816_KCD_29__WANT-YOU__1431-3525	0
021A-C0897X0048XX-ABZZP0_004819_KCD_32__GET-YOU__2190-4525	0
021A-C0897X0048XX-ABZZP0_004820_KCD_33__THAT-YOU__2637-5325	0
021A-C0897X0048XX-ABZZP0_004820_KCD_33__THOUGHT-YOU__2644-5225	0
021A-C0897X0048XX-ABZZP0_004820_KCD_33__WHAT-YOU__2556-9725	0
021A-C0897X0049XX-AAZZP0_004902_KCD_35__OUT-YOU__822-1625	0
021A-C0897X0049XX-ABZZP0_004906_KCD_39__BUT-YOU__441-8925	0
021A-C0897X0049XX-ABZZP0_004908_KCD_41__IT-YOU__732-8825	0
021A-C0897X0049XX-ABZZP0_004911_KCD_44__ABOUT-YOU__2313-5525	0
021A-C0897X0049XX-ABZZP0_004911_KCD_44__THAT-YOU__1894-0925	0
021A-C0897X0049XX-ABZZP0_004912_KCD_45__FEET-YOU__2577-6225	0
021A-C0897X0050XX-AAZZP0_005003_KCD_49__LET-YOU__812-4425	0
021A-C0897X0050XX-AAZZP0_005003_KCD_49__WHAT-YOU__743-0725	0
021A-C0897X0050XX-AAZZP0_005006_KCD_52__BUT-YOU__1610-3125	0
021A-C0897X0050XX-AAZZP0_005007_KCD_53__THOUGHT-YOU__2041-0925	0
021A-C0897X0050XX-AAZZP0_005008_KCD_54__THAT-YOU__2702-7125	0
021A-C0897X0050XX-ABZZP0_005012_KCD_58__IT-YOU__2104-9925	0
021A-C0897X0050XX-ABZZP0_005012_KCD_58__NOT-YOU__1674-8125	0
021A-C0897X0050XX-ABZZP0_005013_KCD_59__FIT-YOU__2540-6025	0
021A-C0897X0051XX-ABZZP0_005114_KCD_73__IT-YOU__2228-4325	0
021A-C0897X0052XX-AAZZP0_005204_KCD_77__THAT-YOU__524-1225	0
021A-C0897X0052XX-AAZZP0_005210_KCD_83__IT-YOU__1879-2725	0
021A-C0897X0052XX-AAZZP0_005212_KCD_85__THOUGHT-YOU__2451-9125	0
021A-C0897X0052XX-AAZZP0_005213_KCD_86__WHAT-YOU__2743-6525	0
021A-C0897X0052XX-ABZZP0_005214_KCD_87__BUT-YOU__483-2425	0
021A-C0897X0052XX-ABZZP0_005220_KCD_93__WHAT-YOU__2499-8925	0
021A-C0897X0053XX-AAZZP0_005306_KCD_95__SET-YOU__2438-0725	0
021A-C0897X0053XX-AAZZP0_005306_KCD_95__THAT-YOU__2592-4125	0
021A-C0897X0054XX-AAZZP0_005403_KCD_105__DIFFICULT-YOU__526-4925	0
021A-C0897X0057XX-AAZZP0_005707_KB5_7__GET-YOU__1503-455	0
021A-C0897X0057XX-AAZZP0_005707_KB5_7__THAT-YOU__1405-225	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__THAT-YOU__1087-095	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__THAT-YOU__1452-745	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__WANT-YOU__2402-70040646	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__WHAT-YOU__1022-585	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__WHAT-YOU__1603-755	0
021A-C0897X0057XX-ABZZP0_005711_KB5_10__WHAT-YOU__891-095	0
021A-C0897X0062XX-AAZZP0_006201_KDY_1__BIT-YOU__973-001029285	0
021A-C0897X0062XX-AAZZP0_006201_KDY_1__BUT-YOU__1029-37102929	0
021A-C0897X0062XX-AAZZP0_006201_KDY_1__BUT-YOU__1125-845	0
021A-C0897X0062XX-AAZZP0_006201_KDY_1__BUT-YOU__1256-115	0
021A-C0897X0062XX-AAZZP0_006202_KDY_2__NIGHT-YOU__2005-69385006	0
021A-C0897X0062XX-AAZZP0_006202_KDY_2__OUT-YOU__1561-875	0
021A-C0897X0062XX-AAZZP0_006202_KDY_2__THAT-YOU__1942-31385006	0
021A-C0897X0062XX-ABZZP0_006206_KDY_6__CUT-YOU__104-9325	0
021A-C0897X0062XX-ABZZP0_006206_KDY_6__THAT-YOU__173-3425	0
021A-C0897X0063XX-AAZZP0_006302_KDY_13__IT-YOU__1191-6825	0
021A-C0897X0063XX-AAZZP0_006302_KDY_13__WHAT-YOU__962-6825	0
021A-C0897X0063XX-AAZZP0_006306_KDY_17__WHAT-YOU__2381-4425	0
021A-C0897X0064XX-AAZZP0_006405_KC4_5__BUT-YOU__2238-36687094	0
021A-C0897X0064XX-AAZZP0_006405_KC4_5__WHAT-YOU__1717-47687094	0
021A-C0897X0064XX-AAZZP0_006405_KC4_5__WHAT-YOU__2322-81687094	0
021A-C0897X0064XX-ABZZP0_006406_KC4_6__BUT-YOU__1338-215	0
021A-C0897X0064XX-ABZZP0_006406_KC4_6__BUT-YOU__533-655	0
021A-C0897X0064XX-ABZZP0_006406_KC4_6__JUST-YOU__1186-865	0
021A-C0897X0065XX-AAZZP0_006502_KC4_10__BUT-YOU__1336-59035969	0
021A-C0897X0065XX-AAZZP0_006502_KC4_10__GET-YOU__1039-965	0
021A-C0897X0065XX-AAZZP0_006502_KC4_10__IT-YOU__2514-57384189	0
021A-C0897X0065XX-ABZZP0_006505_KC4_12__WHAT-YOU__1500-1225	0
021A-C0897X0065XX-ABZZP0_006506_KC4_13__BUT-YOU__2017-515	0
021A-C0897X0065XX-ABZZP0_006506_KC4_13__BUT-YOU__2121-315	0
021A-C0897X0065XX-ABZZP0_006506_KC4_13__IT-YOU__2383-005	0
021A-C0897X0066XX-AAZZP0_006605_KC4_19__IT-YOU__1785-2425	0
021A-C0897X0066XX-AAZZP0_006607_KC4_21__BUT-YOU__2408-7125	0
021A-C0897X0066XX-AAZZP0_006607_KC4_21__EIGHT-YOU__2419-0725	0
021A-C0897X0066XX-AAZZP0_006607_KC4_21__IT-YOU__2322-3225	0
021A-C0897X0066XX-AAZZP0_006607_KC4_21__WHAT-YOU__2389-8225	0
021A-C0897X0066XX-AAZZP0_006608_KC4_22__ALRIGHT-YOU__2698-2425	0
021A-C0897X0066XX-AAZZP0_006608_KC4_22__WHAT-YOU__2770-0825	0
021A-C0897X0066XX-AAZZP0_006608_KC4_22__WHAT-YOU__2783-3425	0
021A-C0897X0066XX-ABZZP0_006610_KC4_24__THOUGHT-YOU__736-0725	0
021A-C0897X0066XX-ABZZP0_006610_KC4_24__WHAT-YOU__1212-4625	0
021A-C0897X0066XX-ABZZP0_006610_KC4_24__WHAT-YOU__491-7525	0
021A-C0897X0067XX-AAZZP0_006701_KDE_1__LET-YOU__702-575	0
021A-C0897X0067XX-ABZZP0_006708_KDE_8__GET-YOU__266-5625	0
021A-C0897X0067XX-ABZZP0_006708_KDE_8__RIGHT-YOU__273-9325	0
021A-C0897X0067XX-ABZZP0_006708_KDE_8__THAT-YOU__244-5525	0
021A-C0897X0067XX-ABZZP0_006710_KDE_10__GET-YOU__1011-6725	0
021A-C0897X0068XX-AAZZP0_006802_KDE_13__GET-YOU__1323-3825	0
021A-C0897X0068XX-AAZZP0_006806_KDE_17__WHAT-YOU__2192-3025	0
021A-C0897X0069XX-ABZZP0_006909_KDE_26__THAT-YOU__2687-0225	0
021A-C0897X0070XX-AAZZP0_007001_KDE_27__THOUGHT-YOU__1589-9025	0
021A-C0897X0070XX-AAZZP0_007007_KDE_33__BUT-YOU__2666-2625	0
021A-C0897X0070XX-ABZZP0_007016_KDE_42__WANT-YOU__1513-9125	0
021A-C0897X0070XX-ABZZP0_007017_KDE_43__IT-YOU__1736-3725	0
021A-C0897X0072XX-AAZZP0_007201_KDE_56__BUT-YOU__783-5325	0
021A-C0897X0072XX-AAZZP0_007201_KDE_56__GET-YOU__450-7825	0
021A-C0897X0072XX-AAZZP0_007201_KDE_56__GET-YOU__457-6825	0
021A-C0897X0072XX-AAZZP0_007201_KDE_56__GET-YOU__899-4925	0
021A-C0897X0075XX-ABZZP0_007508_KDE_92__BUT-YOU__2216-1825	0
021A-C0897X0075XX-ABZZP0_007508_KDE_92__THAT-YOU__2572-0025	0
021A-C0897X0076XX-AAZZP0_007602_KDE_94__JUST-YOU__1404-4025	0
021A-C0897X0076XX-AAZZP0_007602_KDE_94__THAT-YOU__1383-0925	0
021A-C0897X0076XX-AAZZP0_007602_KDE_94__WHAT-YOU__1317-0425	0
021A-C0897X0076XX-AAZZP0_007602_KDE_94__WHAT-YOU__1323-4825	0
021A-C0897X0076XX-AAZZP0_007602_KDE_94__WHAT-YOU__946-4125	0
021A-C0897X0076XX-AAZZP0_007604_KDE_96__THAT-YOU__2246-8725	0
021A-C0897X0076XX-AAZZP0_007605_KDE_97__EXPECT-YOU__2388-8025	0
021A-C0897X0076XX-AAZZP0_007605_KDE_97__SORT-YOU__2426-4625	0
021A-C0897X0076XX-ABZZP0_007612_KDE_104__IT-YOU__1294-6725	0
021A-C0897X0079XX-ABZZP0_007902_D90_1__IT-YOU__1156-4725	0
021A-C0897X0079XX-ABZZP0_007902_D90_1__IT-YOU__1478-8925	0
021A-C0897X0079XX-ABZZP0_007902_D90_1__THAT-YOU__1145-7625	0
021A-C0897X0081XX-AAZZP0_008101_D92_1__THAT-YOU__53-4156056544	0
021A-C0897X0081XX-AAZZP0_008101_D92_1__WHAT-YOU__238-155605654	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__AT-YOU__3334-9625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__AT-YOU__4261-1725	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__BUT-YOU__5490-2125	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__BUT-YOU__789-6125	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__FACT-YOU__4954-4225	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__GET-YOU__1418-7125	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__GET-YOU__4489-1625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__INTEREST-YOU__4242-2725	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__IT-YOU__3603-7625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__2972-6225	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3151-7625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3152-5125	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3384-6625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3389-3425	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3507-8325	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__3763-0925	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__4198-6625	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__4256-0025	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__4881-9225	0
021A-C0897X0084XX-AAZZP0-2nd-ABZZP0_008401_D95_1__THAT-YOU__4900-8825	0
021A-C0897X0085XX-AAZZP0_008501_D96_1__ABOUT-YOU__290-8525	0
021A-C0897X0085XX-AAZZP0_008501_D96_1__WHAT-YOU__21-5125	0
021A-C0897X00882X-0100P0_088201_FUP_1__BUT-YOU__871-862208993	0
021A-C0897X00882X-0100P0_088201_FUP_1__THAT-YOU__749-192208993	0
021A-C0897X00882X-0100P0_088201_FUP_1__WHAT-YOU__234-223837505	0
021A-C0897X00911X-0100P0_091101_H5D_1__AT-YOU__2608-9125	0
021A-C0897X00911X-0100P0_091101_H5D_1__BUT-YOU__1962-7125	0
021A-C0897X00911X-0100P0_091101_H5D_1__BUT-YOU__646-9925	0
021A-C0897X00911X-0100P0_091101_H5D_1__BUT-YOU__804-9825	0
021A-C0897X00911X-0100P0_091101_H5D_1__GOT-YOU__2683-0225	0
021A-C0897X00911X-0100P0_091101_H5D_1__IT-YOU__1471-7525	0
021A-C0897X00911X-0100P0_091101_H5D_1__IT-YOU__438-9525	0
021A-C0897X00911X-0100P0_091101_H5D_1__NOT-YOU__800-4625	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__1124-6525	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__1240-9825	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__1853-6425	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__763-7425	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__873-8825	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__949-9925	0
021A-C0897X00911X-0100P0_091101_H5D_1__THAT-YOU__986-5025	0
021A-C0897X0091XX-AAZZP0_009102_KBE_2__THOUGHT-YOU__2697-27761626	0
021A-C0897X0091XX-AAZZP0_009102_KBE_2__WHAT-YOU__1668-89761626	0
021A-C0897X00923X-0100P0_092301_K64_1__BUT-YOU__833-515154875	0
021A-C0897X00923X-0100P0_092301_K64_1__FACT-YOU__1575-22251239	0
021A-C0897X00923X-0100P0_092301_K64_1__LEAST-YOU__197-675	0
021A-C0897X00923X-0100P0_092301_K64_1__OUT-YOU__1224-32251239	0
021A-C0897X00923X-0100P0_092301_K64_1__THAT-YOU__1529-23251239	0
021A-C0897X00929X-0100P0_092901_K68_1__THAT-YOU__1200-5325	0
021A-C0897X00929X-0100P0_092901_K68_1__THAT-YOU__2021-5425	0
021A-C0897X0092XX-AAZZP0_009201_KBE_11__IT-YOU__1861-725	0
021A-C0897X0092XX-AAZZP0_009201_KBE_11__NIGHT-YOU__608-095	0
021A-C0897X0092XX-AAZZP0_009201_KBE_11__WHAT-YOU__58-915	0
021A-C0897X0092XX-AAZZP0_009202_KBE_12__GOT-YOU__2193-345	0
021A-C0897X0092XX-ABZZP0_009204_KBE_14__ABOUT-YOU__330-051436001	0
021A-C0897X0092XX-ABZZP0_009204_KBE_14__IT-YOU__256-301436001	0
021A-C0897X0092XX-ABZZP0_009204_KBE_14__LEAST-YOU__1233-41125406	0
021A-C0897X0092XX-ABZZP0_009204_KBE_14__THAT-YOU__1605-40125406	0
021A-C0897X0092XX-ABZZP0_009204_KBE_14__WHAT-YOU__93-805	0
021A-C0897X0093XX-AAZZP0_009301_KBE_15__GET-YOU__1125-13050979	0
021A-C0897X0093XX-AAZZP0_009302_KBE_16__WHAT-YOU__2134-245	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__BUT-YOU__2341-9225	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__BUT-YOU__281-7925	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__BUT-YOU__283-6225	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__GET-YOU__1742-7125	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__GET-YOU__1862-5525	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__IT-YOU__2156-0825	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__NOT-YOU__1031-9725	0
021A-C0897X0093XX-ABZZP0_009304_KBE_18__WHAT-YOU__969-6725	0
021A-C0897X0094XX-AAZZP0_009402_KBE_20__PUT-YOU__1345-575	0
021A-C0897X0094XX-AAZZP0_009402_KBE_20__THAT-YOU__1732-14844692	0
021A-C0897X0094XX-AAZZP0_009404_KBE_22__THOUGHT-YOU__2799-3525	0
021A-C0897X0094XX-ABZZP0_009405_KBE_23__IT-YOU__585-5325	0
021A-C0897X0094XX-ABZZP0_009405_KBE_23__WHAT-YOU__293-9125	0
021A-C0897X0094XX-ABZZP0_009406_KBE_24__BOUGHT-YOU__2738-91245893	0
021A-C0897X0094XX-ABZZP0_009406_KBE_24__BUT-YOU__2632-65675577	0
021A-C0897X0094XX-ABZZP0_009406_KBE_24__GOT-YOU__2608-78675577	0
021A-C0897X0094XX-ABZZP0_009406_KBE_24__THOUGHT-YOU__2370-24675577	0
021A-C0897X0094XX-ABZZP0_009406_KBE_24__WHAT-YOU__2352-86675577	0
021A-C0897X00951X-0100P0_095101_FY9_1__ABOUT-YOU__1513-6125	0
021A-C0897X00951X-0100P0_095101_FY9_1__BUT-YOU__1137-1025	0
021A-C0897X00951X-0100P0_095101_FY9_1__JUST-YOU__2733-7425	0
021A-C0897X00951X-0100P0_095101_FY9_1__THAT-YOU__1243-9925	0
021A-C0897X00951X-0100P0_095101_FY9_1__THAT-YOU__2139-2125	0
021A-C0897X00951X-0100P0_095101_FY9_1__WHAT-YOU__1131-4925	0
021A-C0897X00951X-0100P0_095101_FY9_1__WHAT-YOU__2750-7925	0
021A-C0897X00951X-0100P0_095101_FY9_1__WHAT-YOU__975-6625	0
021A-C0897X00951X-0100P0_095101_FY9_1__WHAT-YOU__979-0925	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__ABOUT-YOU__2131-92800588	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__BUT-YOU__2023-89800588	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__BUT-YOU__2349-63800588	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__RIGHT-YOU__109-915	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__THAT-YOU__1186-685	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__THAT-YOU__2620-03800588	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__THOUGHT-YOU__1472-455	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__WANT-YOU__1959-58800588	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__WANT-YOU__216-205	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__WHAT-YOU__1304-385	0
021A-C0897X0095XX-AAZZP0_009501_KBE_25__WHAT-YOU__2236-56800588	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__AT-YOU__1253-59431929	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__BET-YOU__196-125	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__BET-YOU__2026-96431929	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__GOT-YOU__995-555	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__IT-YOU__719-255	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__THAT-YOU__2219-98431929	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__WANT-YOU__1680-83431929	0
021A-C0897X0095XX-ABZZP0_009502_KBE_26__WHAT-YOU__1566-85431929	0
021A-C0897X00962X-0100P0_096201_KNF_1__BUT-YOU__434-9425	0
021A-C0897X00962X-0100P0_096201_KNF_1__THAT-YOU__1085-9725	0
021A-C0897X00962X-0100P0_096201_KNF_1__THAT-YOU__1094-7725	0
021A-C0897X00962X-0100P0_096201_KNF_1__THAT-YOU__1564-0925	0
021A-C0897X00962X-0100P0_096201_KNF_1__WHAT-YOU__2233-5225	0
021A-C0897X00963X-0100P0_096301_G4U_1__THAT-YOU__1054-42746281	0
021A-C0897X00963X-0100P0_096301_G4U_1__THAT-YOU__204-365	0
